Index,Label
0,['neither']
1,['negative']
2,['neither']
3,['positive']
4,['neither']
5,['positive']
6,['neither']
7,['negative']
8,['positive']
9,['neither']
10,['positive']
11,['neither']
12,['neither']
13,['positive']
14,['negative']
15,['neither']
16,['neither']
17,['neither']
18,['neither']
19,['neither']
20,['neither']
21,['neither']
22,['neither']
23,['positive']
24,['neither']
25,['negative']
26,['neither']
27,['positive']
28,['positive']
29,['negative']
30,['negative']
31,['positive']
32,['negative']
33,['neither']
34,['negative']
35,['negative']
36,['positive']
37,['neither']
38,['positive']
39,['negative']
40,['positive']
41,['positive']
42,['positive']
43,['neither']
44,['positive']
45,['neither']
46,['neither']
47,['neither']
48,['positive']
49,['neither']
50,['neither']
51,['neither']
52,['neither']
53,['neither']
54,['positive']
55,['negative']
56,['neither']
57,['neither']
58,['positive']
59,['neither']
60,['positive']
61,['neither']
62,['neither']
63,['neither']
64,['negative']
65,['positive']
66,['neither']
67,['positive']
68,['neither']
69,['neither']
70,['neither']
71,['neither']
72,['neither']
73,['negative']
74,['neither']
75,['negative']
76,['negative']
77,['positive']
78,['positive']
79,['positive']
80,['neither']
81,['neither']
82,['negative']
83,['neither']
84,['positive']
85,['positive']
86,['neither']
87,['positive']
88,['neither']
89,['negative']
90,['neither']
91,['positive']
92,['neither']
93,['neither']
94,['negative']
95,['negative']
96,['negative']
97,['positive']
98,['neither']
99,['neither']
