Index,Labels
0,economic
1,economic
2,off_topic
3,off_topic
4,off_topic
5,"social, economic, environmental"
6,"social, economic, environmental"
7,"social, economic, environmental"
8,"social, economic, environmental"
9,"social, economic, environmental"
10,"social, economic, environmental"
11,"social, economic, environmental"
12,"social, economic, environmental"
13,"social, economic, environmental"
14,"social, economic, environmental"
15,environmental
16,"social, environmental"
17,"social, environmental"
18,"social, environmental"
19,"social, environmental"
20,social
21,"social, economic, environmental"
22,"social, economic, environmental"
23,"social, economic, environmental"
24,off_topic
25,off_topic
26,off_topic
27,off_topic
